Description	lab	award	annotation_type	assay_term_name	organism	biosample_ontology	experimental_input	aliases	software_used	disease_term_id
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO557QXE	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR433NEX	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR433NEX	encode:re2g_modelV2.0.0	DOID:0080832
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO915WZE	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR502FPR	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR502FPR	encode:re2g_modelV2.0.0	DOID:0080832
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO628ASW	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR503UFM	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR503UFM	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO592ZWW	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR510GRY	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR510GRY	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO921RVK	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR555DLG	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR555DLG	encode:re2g_modelV2.0.0	DOID:10652
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO672KST	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR563CZB	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR563CZB	encode:re2g_modelV2.0.0	DOID:0080832
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO473TSU	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR577QZP	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR577QZP	encode:re2g_modelV2.0.0	DOID:10652
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO201EUI	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR579RVI	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR579RVI	encode:re2g_modelV2.0.0	DOID:10652
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO680UUE	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR581LHW	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR581LHW	encode:re2g_modelV2.0.0	DOID:10652
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO948PMW	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR590EFT	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR590EFT	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO997SGX	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR599JZA	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR599JZA	encode:re2g_modelV2.0.0	DOID:10652
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO940VNT	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR612IKQ	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR612IKQ	encode:re2g_modelV2.0.0	HP:0100543,DOID:10652
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO801BII	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR628GQE	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR628GQE	encode:re2g_modelV2.0.0	DOID:10652
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO218FFZ	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR652IZW	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR652IZW	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO197QVG	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR654GSG	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR654GSG	encode:re2g_modelV2.0.0	DOID:10652
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO707TUE	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR670MKJ	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR670MKJ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO865EMM	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR690CVL	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR690CVL	encode:re2g_modelV2.0.0	DOID:10652
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO736YJH	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR694DOX	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR694DOX	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO070VNS	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR709PZI	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR709PZI	encode:re2g_modelV2.0.0	DOID:10652
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO242JQO	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR729TYE	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR729TYE	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO150EBZ	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR730IHD	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR730IHD	encode:re2g_modelV2.0.0	DOID:10652
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO989QRD	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR770JCP	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR770JCP	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO343SFL	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR784GVR	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR784GVR	encode:re2g_modelV2.0.0	DOID:0080832
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO423GGP	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR789FJF	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR789FJF	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO101GPB	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR822GDF	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR822GDF	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO921LXT	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR846VGZ	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR846VGZ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO893GME	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR859HEW	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR859HEW	encode:re2g_modelV2.0.0	DOID:0080832
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO170MSG	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR885ZBV	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR885ZBV	encode:re2g_modelV2.0.0	DOID:0080832
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO059BOC	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR887VUC	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR887VUC	encode:re2g_modelV2.0.0	HP:0100543,DOID:10652
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO006DAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR896LMT	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR896LMT	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO204VNL	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR908MUU	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR908MUU	encode:re2g_modelV2.0.0	DOID:0080832
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO461DJY	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR924IHU	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR924IHU	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO982NCL	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR943MRO	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR943MRO	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO597SRH	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR955RQG	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR955RQG	encode:re2g_modelV2.0.0	DOID:10652
ENCODE-rE2G predictions for posterior cingulate gyrus; Donor: ENCDO669IVL	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002740/	ENCSR987CQN	jesse-engreitz:encode_re2g_predictions_posterior_cingulate_gyrus_ENCSR987CQN	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for superior temporal gyrus; Donor: ENCDO240JUB	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0002769/	ENCSR382JUJ	jesse-engreitz:encode_re2g_predictions_superior_temporal_gyrus_ENCSR382JUJ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for chorion; Donor: ENCDO180AAA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0003124/	ENCSR000EIL	jesse-engreitz:encode_re2g_predictions_chorion_ENCSR000EIL	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for forelimb muscle; Donor: ENCDO012PVK	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0003662/	ENCSR166TEE	jesse-engreitz:encode_re2g_predictions_forelimb_muscle_ENCSR166TEE	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for hindlimb muscle; Donor: ENCDO249ZDZ	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0003663/	ENCSR385AMY	jesse-engreitz:encode_re2g_predictions_hindlimb_muscle_ENCSR385AMY	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for lower leg skin; Donor: ENCDO845WKR	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0004264/	ENCSR361DND	jesse-engreitz:encode_re2g_predictions_lower_leg_skin_ENCSR361DND	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for lower leg skin; Donor: ENCDO793LXB	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0004264/	ENCSR579KDC	jesse-engreitz:encode_re2g_predictions_lower_leg_skin_ENCSR579KDC	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for left kidney; Donor: ENCDO294EUZ	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0004538/	ENCSR097BWW	jesse-engreitz:encode_re2g_predictions_left_kidney_ENCSR097BWW	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for left kidney; Donor: ENCDO633IHH	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0004538/	ENCSR120LVW	jesse-engreitz:encode_re2g_predictions_left_kidney_ENCSR120LVW	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for left kidney; Donor: ENCDO817EKT	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0004538/	ENCSR184DFF	jesse-engreitz:encode_re2g_predictions_left_kidney_ENCSR184DFF	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for left kidney; Donor: ENCDO814BQX	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0004538/	ENCSR295DUI	jesse-engreitz:encode_re2g_predictions_left_kidney_ENCSR295DUI	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for left kidney; Donor: ENCDO863JOG	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0004538/	ENCSR422PVL	jesse-engreitz:encode_re2g_predictions_left_kidney_ENCSR422PVL	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for left kidney; Donor: ENCDO816OTW	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0004538/	ENCSR543YPH	jesse-engreitz:encode_re2g_predictions_left_kidney_ENCSR543YPH	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for left kidney; Donor: ENCDO126IGB	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0004538/	ENCSR600RAA	jesse-engreitz:encode_re2g_predictions_left_kidney_ENCSR600RAA	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for left kidney; Donor: ENCDO607LOS	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0004538/	ENCSR953XJU	jesse-engreitz:encode_re2g_predictions_left_kidney_ENCSR953XJU	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for left kidney; Donor: ENCDO087TLK	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0004538/	ENCSR974TXT	jesse-engreitz:encode_re2g_predictions_left_kidney_ENCSR974TXT	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for right kidney; Donor: ENCDO814BQX	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0004539/	ENCSR017TFH	jesse-engreitz:encode_re2g_predictions_right_kidney_ENCSR017TFH	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for right kidney; Donor: ENCDO607LOS	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0004539/	ENCSR036VRV	jesse-engreitz:encode_re2g_predictions_right_kidney_ENCSR036VRV	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for right kidney; Donor: ENCDO126IGB	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0004539/	ENCSR332BSB	jesse-engreitz:encode_re2g_predictions_right_kidney_ENCSR332BSB	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for right kidney; Donor: ENCDO119ASK	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0004539/	ENCSR414ZUA	jesse-engreitz:encode_re2g_predictions_right_kidney_ENCSR414ZUA	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for right kidney; Donor: ENCDO817EKT	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0004539/	ENCSR670ZSA	jesse-engreitz:encode_re2g_predictions_right_kidney_ENCSR670ZSA	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for right kidney; Donor: ENCDO453STB	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0004539/	ENCSR765BSU	jesse-engreitz:encode_re2g_predictions_right_kidney_ENCSR765BSU	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for right kidney; Donor: ENCDO245RIZ	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0004539/	ENCSR768OLL	jesse-engreitz:encode_re2g_predictions_right_kidney_ENCSR768OLL	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for right kidney; Donor: ENCDO863JOG	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0004539/	ENCSR871APX	jesse-engreitz:encode_re2g_predictions_right_kidney_ENCSR871APX	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for right kidney; Donor: ENCDO633IHH	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0004539/	ENCSR884MCZ	jesse-engreitz:encode_re2g_predictions_right_kidney_ENCSR884MCZ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for right kidney; Donor: ENCDO816OTW	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0004539/	ENCSR990XXC	jesse-engreitz:encode_re2g_predictions_right_kidney_ENCSR990XXC	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for esophagus muscularis mucosa; Donor: ENCDO845WKR	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0004648/	ENCSR944JCE	jesse-engreitz:encode_re2g_predictions_esophagus_muscularis_mucosa_ENCSR944JCE	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for mucosa of descending colon; Donor: ENCDO186XRB	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0004992/	ENCSR404TSP	jesse-engreitz:encode_re2g_predictions_mucosa_of_descending_colon_ENCSR404TSP	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for mucosa of descending colon; Donor: ENCDO221IPH	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0004992/	ENCSR507DQC	jesse-engreitz:encode_re2g_predictions_mucosa_of_descending_colon_ENCSR507DQC	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for mucosa of descending colon; Donor: ENCDO392CRK	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0004992/	ENCSR612CTW	jesse-engreitz:encode_re2g_predictions_mucosa_of_descending_colon_ENCSR612CTW	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for mucosa of gallbladder; Donor: ENCDO575EGL	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0005033/	ENCSR011SAG	jesse-engreitz:encode_re2g_predictions_mucosa_of_gallbladder_ENCSR011SAG	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for renal cortex interstitium; Donor: ENCDO870OBN	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0005270/	ENCSR022ECC	jesse-engreitz:encode_re2g_predictions_renal_cortex_interstitium_ENCSR022ECC	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for renal cortex interstitium; Donor: ENCDO014CNM	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0005270/	ENCSR129KIV	jesse-engreitz:encode_re2g_predictions_renal_cortex_interstitium_ENCSR129KIV	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for renal cortex interstitium; Donor: ENCDO608XKS	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0005270/	ENCSR155NPL	jesse-engreitz:encode_re2g_predictions_renal_cortex_interstitium_ENCSR155NPL	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for renal cortex interstitium; Donor: ENCDO375VTO	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0005270/	ENCSR254AGA	jesse-engreitz:encode_re2g_predictions_renal_cortex_interstitium_ENCSR254AGA	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for renal cortex interstitium; Donor: ENCDO555CMC	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0005270/	ENCSR524DWS	jesse-engreitz:encode_re2g_predictions_renal_cortex_interstitium_ENCSR524DWS	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for renal cortex interstitium; Donor: ENCDO576LXR	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0005270/	ENCSR550UWM	jesse-engreitz:encode_re2g_predictions_renal_cortex_interstitium_ENCSR550UWM	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for renal cortex interstitium; Donor: ENCDO380HQH	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0005270/	ENCSR656QYL	jesse-engreitz:encode_re2g_predictions_renal_cortex_interstitium_ENCSR656QYL	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for renal cortex interstitium; Donor: ENCDO132ASK	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0005270/	ENCSR828RNY	jesse-engreitz:encode_re2g_predictions_renal_cortex_interstitium_ENCSR828RNY	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for renal cortex interstitium; Donor: ENCDO859GXV	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0005270/	ENCSR849OKE	jesse-engreitz:encode_re2g_predictions_renal_cortex_interstitium_ENCSR849OKE	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for renal cortex interstitium; Donor: ENCDO076OLG	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0005270/	ENCSR851ZFT	jesse-engreitz:encode_re2g_predictions_renal_cortex_interstitium_ENCSR851ZFT	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for renal cortex interstitium; Donor: ENCDO613NXA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0005270/	ENCSR932DHT	jesse-engreitz:encode_re2g_predictions_renal_cortex_interstitium_ENCSR932DHT	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for inferior parietal cortex; Donor: ENCDO240JUB	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0006088/	ENCSR986YWZ	jesse-engreitz:encode_re2g_predictions_inferior_parietal_cortex_ENCSR986YWZ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for right atrium auricular region; Donor: ENCDO271OUW	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0006631/	ENCSR278SKG	jesse-engreitz:encode_re2g_predictions_right_atrium_auricular_region_ENCSR278SKG	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for right atrium auricular region; Donor: ENCDO793LXB	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0006631/	ENCSR984SQJ	jesse-engreitz:encode_re2g_predictions_right_atrium_auricular_region_ENCSR984SQJ	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for esophagus squamous epithelium; Donor: ENCDO845WKR	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0006920/	ENCSR783OCW	jesse-engreitz:encode_re2g_predictions_esophagus_squamous_epithelium_ENCSR783OCW	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for tibial artery; Donor: ENCDO793LXB	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0007610/	ENCSR080ISA	jesse-engreitz:encode_re2g_predictions_tibial_artery_ENCSR080ISA	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for tibial artery; Donor: ENCDO451RUA	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0007610/	ENCSR090IDV	jesse-engreitz:encode_re2g_predictions_tibial_artery_ENCSR090IDV	encode:re2g_modelV2.0.0	
ENCODE-rE2G predictions for tibial artery; Donor: ENCDO845WKR	/labs/jesse-engreitz/	UM1HG009436	element gene link predictions	DNase-seq	human	/biosample-types/tissue_UBERON_0007610/	ENCSR102RSU	jesse-engreitz:encode_re2g_predictions_tibial_artery_ENCSR102RSU	encode:re2g_modelV2.0.0	
